,XIV,,,,SVXY,ZIV,SVXY + ZIV
2011-10-04,100000,0,VXX - 1.00,,100000,100000,100000
2011-10-05,95367.3216,-4.633,VXX - 1.00,,95367.3216,95367.3216,95367.3216
2011-10-06,93790.3616,-1.654,GLD - 1.00,,93790.3616,93790.3616,93790.3616
2011-10-07,93033.174664,-0.807,GLD - 1.00,,93033.174664,93033.174664,93033.174664
2011-10-10,95397.201022,2.541,None - 0.00,,95397.201022,95397.201022,95397.201022
2011-10-11,95397.201022,0,XIV - 0.45,,95397.201022,95397.201022,95397.201022
2011-10-12,98202.831022,2.941,XIV - 0.45,,98356.433522,97434.951022,97756.477897
2011-10-13,98334.991022,0.135,XIV - 0.45,,98007.203522,97218.291022,97493.171647
2011-10-14,100841.851022,2.549,XIV - 0.45,,100913.873522,98558.061022,99383.714147
2011-10-17,96042.601022,-4.759,XIV - 0.45,,95970.794772,96741.951022,96455.996647
2011-10-18,97475.641022,1.492,XIV - 0.45,,97452.789772,97507.611022,97469.196647
2011-10-19,94393.181022,-3.162,XIV - 0.45,,94560.752272,95991.411022,95474.605397
2011-10-20,93904.231022,-0.518,XIV - 0.45,,94200.362272,96396.541022,95616.574772
2011-10-21,96153.831022,2.396,XIV - 0.45,,96267.167272,97495.741022,97045.684772
2011-10-24,98817.921022,2.771,XIV - 0.45,,99028.569772,98724.161022,98801.335397
2011-10-25,95843.421022,-3.01,XIV - 0.80,,96035.619772,97870.241022,97202.260397
2011-10-26,98776.941022,3.061,XIV - 0.45,,98588.284772,99596.891022,99210.625397
2011-10-27,104575.641022,5.87,XIV - 0.45,,104353.013522,103142.081022,103513.674147
2011-10-28,104767.071022,0.183,XIV - 1.00,,105116.694772,103348.121022,103913.627272
2011-10-31,93872.341022,-10.399,XIV - 1.00,,93892.517272,98628.681022,96923.871022
2011-11-01,80556.301022,-14.185,XIV - 0.45,,80049.292272,90860.361022,87038.441022
2011-11-02,81577.901022,1.268,XIV - 0.45,,81231.812272,90723.161022,87361.936022
2011-11-03,83401.131022,2.235,XIV - 0.45,,82997.499772,91547.801022,88519.371647
2011-11-04,82544.191022,-1.027,XIV - 0.45,,82271.224772,91547.801022,88259.902897
2011-11-07,82916.251022,0.451,XIV - 0.80,,82510.854772,91513.821022,88322.951647
2011-11-08,85985.891022,3.702,XIV - 0.45,,85646.723522,92964.381022,90372.958522
2011-11-09,78777.271022,-8.383,XIV - 1.00,,78330.752272,89375.221022,85453.401022
2011-11-10,83373.871022,5.835,XIV - 0.45,,83088.632272,90404.951022,87747.781022
2011-11-11,84889.891022,1.818,XIV - 0.45,,84684.719772,91545.431022,89041.013522
2011-11-14,83946.151022,-1.112,XIV - 1.00,,83748.989772,90983.991022,88352.693522
2011-11-15,84857.731022,1.086,XIV - 0.80,,84603.933522,91219.761022,88798.692272
2011-11-16,81697.951022,-3.724,XIV - 0.80,,81412.458522,89773.751022,86761.466022
2011-11-17,78751.471022,-3.607,XIV - 0.45,,78310.748522,87058.731022,83920.9010219999
2011-11-18,79727.831022,1.24,XIV - 0.45,,79427.868522,87416.831022,84535.0210219999
2011-11-21,79315.631022,-0.517,XIV - 0.80,,79076.191022,86953.641022,84110.714772
2011-11-22,80544.931022,1.55,XIV - 0.80,,80348.996022,86953.641022,84545.2197719999
2011-11-23,77851.251022,-3.344,XIV - 0.80,,77462.729772,86124.761022,83013.3791469999
2011-11-25,76880.0694220001,-1.247,XIV - 0.80,,76645.403522,86636.121022,83071.1703969999
2011-11-28,79590.053622,3.525,XIV - 0.80,,79367.243522,86827.581022,84121.6703969999
2011-11-29,80818.7536220001,1.544,XIV - 0.80,,80547.461022,87784.431022,85153.0885219999
2011-11-30,86692.993622,7.268,XIV - 1.00,,86410.661022,91346.031022,89495.0885219999
2011-12-01,88646.893622,2.254,XIV - 1.00,,88154.527272,92605.231022,90918.6047719999
2011-12-02,88797.163622,0.17,XIV - 1.00,,88548.224772,92290.471022,90847.7578969999
2011-12-05,88797.163622,0,XIV - 1.00,,88660.702272,94257.721022,92174.5266469999
2011-12-06,89247.973622,0.508,XIV - 1.00,,89016.881022,93864.321022,92039.2997719999
2011-12-07,86543.293622,-3.031,XIV - 1.00,,86298.674772,92605.441022,90281.3503969999
2011-12-08,82785.543622,-4.342,XIV - 1.00,,82398.414772,90244.741022,87395.9503969999
2011-12-09,88349.603622,6.721,XIV - 0.80,,87989.267272,91897.651022,90398.4466469999
2011-12-12,87868.723622,-0.544,XIV - 1.00,,87479.309772,90197.731022,89110.3216469999
2011-12-13,88320.223622,0.514,XIV - 1.00,,87667.084772,90276.821022,89226.7028969999
2011-12-14,87868.753622,-0.511,XIV - 1.00,,87704.639772,89802.281022,88929.2841469999
2011-12-15,91330.253622,3.939,XIV - 1.00,,90934.369772,91621.351022,91231.0466469999
2011-12-16,91781.573622,0.494,XIV - 1.00,,91666.399772,91542.271022,91431.4228969999
2011-12-19,92834.583622,1.147,XIV - 1.00,,92323.306022,92333.071022,92174.7541469999
