Date,1st mth,2nd mth,#Contr 1m,#Contr 2m,Tot contracts,"Weighted VIX futures (by the % of contracts, equivalent: to a 30 days VIX future)",Cont/Backw,VIX,VIX ST chg,VXX calc,VXX market,Diff,,,,Inv VIX ST chg ,XIV calc,XIV market,Diff,SVXY calc,SVXY market,Diff,2x VIX ST chg,UVXY calc,UVXY market,Diff,,,,Days Left until 1st vix future expiry,1st fut Vix forecast & Other,2nd fut Vix forecast & Other,VXX Sell signal,Fast moving average VIX futures,Slow moving average VIX futures,Fast moving average Cont/Backw,Slow moving average Cont/Backw,VIX Futures increasing,Cont/Backw increasing,High contango threshold crossed,High backwardation threshold crossed,High VIX futures,Low VIX futures,,,,,,,,,,,,,,,,,,,,,
"Friday, March 26, 2004",20.32,20.16,412167.18,0,412167.18,20.32,-0.79%,17.33,,"115,171",,,,,,,1.90,,,3.55,,,,"101,844,393,527",,,,,,17,,,-,20.32,20.32,-0.79%,-0.79%,FALSE,FALSE,N/A,N/A,N/A,N/A,Sell signal,Num days for Fast moving average Weighted 30d fut,,,,,,,,,,,,,,,,,,,
"Monday, March 29, 2004",19.80,19.77,387922.05,24437.55,412359.60,19.80,-0.15%,16.50,0.975,"112,261",,,,,,1.025,1.95,,,3.64,,,0.950,"96,700,350,052",,,,,,16,,,-,20.06,20.06,-0.47%,-0.47%,FALSE,FALSE,N/A,N/A,N/A,N/A,model,20,,,,VXX model params (better not touch),,,,,,,,,,,,,,,
"Tuesday, March 30, 2004",19.62,19.79,363676.92,48719.47,412396.39,19.64,0.86%,16.28,0.992,"111,370",,,,,,1.008,1.97,,,3.67,,,0.984,"95,166,411,381",,,,,,15,,,-,19.92,19.92,-0.03%,-0.03%,FALSE,FALSE,N/A,N/A,N/A,N/A,parameters:,Num days for Slow moving average Weighted 30d fut,,,,Pre-fund Days simulated,1220,,,,,,,,,,,,,,
"Wednesday, March 31, 2004",19.75,19.85,339431.79,72756.33,412188.12,19.77,0.50%,16.74,1.006,"112,032",,,,,,0.994,1.96,,,3.64,,,1.012,"96,299,591,315",,,,,,14,,,-,19.88,19.88,0.10%,0.10%,FALSE,FALSE,N/A,N/A,N/A,N/A,,40,,,,Traded days:,2049,,,,,,,,,,,,,,
"Thursday, April 01, 2004",19.62,19.61,315186.66,96879.31,412065.98,19.62,-0.05%,16.65,0.992,"111,145",,,,,,1.008,1.97,,,3.67,,,0.984,"94,775,219,645",,,,,,13,,,-,19.83,19.83,0.07%,0.07%,FALSE,FALSE,N/A,N/A,N/A,N/A,,Fast moving average Cont/Backw,,,,Mgmt fee factor + tracking error:,99.9959%,Accounts for the funds' management costs + tracking error.,,,,,,,,,,,,,
"Friday, April 02, 2004",18.89,19.16,290941.54,121136.80,412078.34,18.97,1.41%,15.64,0.967,"107,471",,,,,,1.033,2.04,,,3.79,,,0.934,"88,511,073,055",,,,,,12,,,-,19.69,19.69,0.30%,0.30%,FALSE,FALSE,N/A,N/A,N/A,N/A,,5,,,,Avg Diff to NAV,-0.04%,,,,,,,,,,,,,,
"Monday, April 05, 2004",18.53,18.62,266696.41,145040.27,411736.68,18.56,0.48%,14.97,0.978,"105,069",,,,,,1.022,2.08,,,3.88,,,0.955,"84,557,544,131",,,,,,11,,,-,19.52,19.52,0.51%,0.32%,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,Slow moving average Cont/Backw,,,,Yearly tracking error,1.01%,Annual divergence with respect to the index it tracks,,,,,,,,,,,,,
"Tuesday, April 06, 2004",18.79,18.79,242451.28,169168.21,411619.49,18.79,0.00%,15.32,1.012,"106,327",,,,,,0.988,2.06,,,3.83,,,1.024,"86,583,118,840",,,,,,10,,,-,19.43,19.43,0.53%,0.28%,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,15,,,,,,,,,,,,,,,,,,,
"Wednesday, April 07, 2004",19.09,19.12,218206.15,193413.34,411619.49,19.10,0.16%,15.76,1.017,"108,100",,,,,,0.983,2.02,,,3.77,,,1.033,"89,471,903,348",,,,,,9,,,-,19.40,19.40,0.42%,0.27%,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,Contango threshold,,,,VIXY model params (better not touch),,,,,,,,,,,,,,,
"Thursday, April 08, 2004",19.05,19.00,193961.02,217620.43,411581.45,19.02,-0.26%,16.26,0.996,"107,630",,,,,,1.004,2.03,,,3.78,,,0.991,"88,695,257,115",,,,,,8,,,-,19.36,19.36,0.29%,0.22%,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,20.00%,,,,Pre-fund Days simulated,1706,,,,,,,,,,,,,,
"Monday, April 12, 2004",18.67,18.90,169715.90,241929.36,411645.25,18.81,1.22%,15.28,0.989,"106,407",,,,,,1.011,2.05,,,3.83,,,0.977,"86,680,307,508",,,,,,7,,,-,19.31,19.31,0.50%,0.31%,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,Backwardation threshold,,,,Traded days:,0,,,,,,,,,,,,,,
"Tuesday, April 13, 2004",19.30,19.29,145470.77,265879.44,411350.21,19.29,-0.05%,17.26,1.025,"109,087",,,,,,0.975,2.00,,,3.73,,,1.050,"91,048,933,407",,,,,,6,,,-,19.31,19.31,0.26%,0.28%,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,-5.00%,,,,Mgmt fee factor + tracking error:,#DIV/0!,,,,,,,,,,,,,,
"Wednesday, April 14, 2004",19.46,19.47,121225.64,290137.13,411362.77,19.47,0.05%,15.62,1.009,"110,067",,,,,,0.991,1.98,,,3.70,,,1.018,"92,686,146,403",,,,,,5,,,-,19.32,19.32,0.19%,0.26%,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,High contract Weighted 30d VIX future,,,,Avg Diff to NAV,#DIV/0!,,,,,,,,,,,,,,
"Thursday, April 15, 2004",19.35,19.47,96980.51,314369.81,411350.32,19.44,0.62%,15.74,0.999,"109,916",,,,,,1.001,1.99,,,3.70,,,0.997,"92,433,119,657",,,,,,4,,,-,19.33,19.33,0.29%,0.28%,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,16,,,,Yearly tracking error,#DIV/0!,,,,,,,,,,,,,,
"Friday, April 16, 2004",19.00,19.43,72735.38,338465.51,411200.89,19.35,2.21%,14.94,0.995,"109,376",,,,,,1.005,2.00,,,3.72,,,0.990,"91,525,666,831",,,,,,3,,,-,19.33,19.33,0.63%,0.41%,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,Low contract Weighted 30d VIX future,,,,,,,,,,,,,,,,,,,
"Monday, April 19, 2004",18.87,19.68,48490.26,362174.07,410664.33,19.58,4.12%,15.42,1.011,"110,529",,,,,,0.989,1.97,,,3.68,,,1.021,"93,457,127,315",,,,,,2,,,-,19.35,19.35,1.36%,0.64%,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,15,,,,XIV model params  (better not touch),,,,,,,,,,,,,,,
"Tuesday, April 20, 2004",19.15,19.96,24245.13,385421.31,409666.44,19.91,4.06%,16.67,1.014,"112,101",,,,,,0.986,1.95,,,3.63,,,1.029,"96,116,643,958",,,,,,1,,,-,19.38,19.38,1.83%,0.95%,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,,,,Pre-fund Days simulated,1682,,,,,,,,,,,,,,
"Wednesday, April 21, 2004",18.68,19.70,408682.54,0.00,408682.54,18.68,5.18%,15.60,0.936,"104,908",,,,,,1.064,2.07,,,3.86,,,0.872,"83,783,543,940",,,,,,20,,,-,19.34,19.34,2.71%,1.28%,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,,,,Traded days:,1586,,,,,,,,,,,,,,
"Thursday, April 22, 2004",17.35,18.77,388248.41,19376.12,407624.53,17.42,7.57%,14.61,0.930,"97,560",,,,,,1.070,2.22,,,4.13,,,0.860,"72,049,173,997",,,,,,19,,,-,19.24,19.24,3.96%,1.70%,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,Sell Signal Indicators:,,,,Mgmt fee factor + tracking error:,99.9958%,,,,,,,,,,,,,,
