Date,Old,TLT,GLD
2008-08-12,100000,100000,100000
2008-08-13,98087.5,98087.5,98087.5
2008-08-14,101350.58,101350.58,101350.58
2008-08-15,102700.34,102700.34,102700.34
2008-08-18,101238.23,101238.23,101238.23
2008-08-19,98088.79,98088.79,98088.79
2008-08-20,100114.15,100114.15,100114.15
2008-08-21,101126.65,101126.65,101126.65
2008-08-22,101643.92,101643.92,101643.92
2008-08-25,97125.31,97125.31,97125.31
2008-08-26,98117.65,98117.65,98117.65
2008-08-27,98558.65,98558.65,98558.65
2008-08-28,101049.32,101049.32,101049.32
2008-08-29,98775.86,98775.86,98775.86
2008-09-02,97476.38,97476.38,97476.38
2008-09-03,98667.68,98667.68,98667.68
2008-09-04,98667.68,98667.68,98667.68
2008-09-05,99065.31,99065.31,99065.31
2008-09-08,99065.31,99480.168815,98914.827492
2008-09-09,99065.31,100465.598375,95942.84373
2008-09-10,99065.31,100465.598375,95942.84373
2008-09-11,99665.23,101065.518375,96542.76373
2008-09-12,100304.894,101705.182375,97182.42773
2008-09-15,104941.174,106341.462375,101818.70773
2008-09-16,103418.214,104818.502375,100295.74773
2008-09-17,107979.278,109379.566375,104856.81173
2008-09-18,103900.558,105300.846375,100778.09173
2008-09-19,102072.454,103472.742375,98949.98773
2008-09-22,107543.822,108944.110375,104421.35573
2008-09-23,114837.238,116237.526375,111714.77173
2008-09-24,113783.886,115184.174375,110661.41973
2008-09-25,111041.718,112442.006375,107919.25173
2008-09-26,113332.75,114733.038375,110210.28373
2008-09-29,125882.774,127283.062375,122760.30773
2008-09-30,119810.158,121210.446375,116687.69173
2008-10-01,122952.278,124352.566375,119829.81173
2008-10-02,129558.366,130958.654375,126435.89973
2008-10-03,133049.638,134449.926375,129927.17173
2008-10-06,136938.766,138339.054375,133816.29973
2008-10-07,147711.894,149112.182375,144589.42773
2008-10-08,154648.846,156049.134375,151526.37973
2008-10-09,167444.846,168845.134375,164322.37973
2008-10-10,173426.966,174827.254375,170304.49973
2008-10-13,162220.262,163620.550375,159097.79573
2008-10-14,166194.886,167595.174375,163072.41973
2008-10-15,185959.286,187359.574375,182836.81973
2008-10-16,189089.806,190490.094375,185967.33973
2008-10-17,202901.55,204301.838375,199779.08373
2008-10-20,193217.134,194617.422375,190094.66773
2008-10-21,188750.918,190151.206375,185628.45173
2008-10-22,205820.606,207220.894375,202698.13973
2008-10-23,211963.71,213363.998375,208841.24373
2008-10-24,233219.566,234619.854375,230097.09973
2008-10-27,245259.718,246660.006375,242137.25173
2008-10-28,226381.358,227781.646375,223258.89173
2008-10-29,235689.078,237089.366375,232566.61173
2008-10-30,232994.086,234394.374375,229871.61973
2008-10-31,232243.43,233643.718375,229120.96373
2008-11-03,225916.358,227316.646375,222793.89173
2008-11-04,208417.766,209818.054375,205295.29973
2008-11-05,220138.654,221538.942375,217016.18773
2008-11-06,242676.918,244077.206375,239554.45173
2008-11-07,237366.758,238767.046375,234244.29173
2008-11-10,241536.95,242937.238375,238414.48373
2008-11-11,247782.854,249183.142375,244660.38773
