Date,Equity,dayProfit%,dayProfit%,,
2008-08-12,100000,0,XIV - 1.00 - false,,
2008-08-13,98087.5,-1.912,XIV - 1.00 - false, Avg.profit = 146.067%, max DD = 31.516% (2016-01-22)
2008-08-14,101350.58,3.327,XIV - 1.00 - false,,
2008-08-15,102700.34,1.332,XIV - 1.00 - false,,
2008-08-18,101238.23,-1.424,XIV - 1.00 - false,,
2008-08-19,98088.79,-3.111,XIV - 1.00 - false,,
2008-08-20,100114.15,2.065,XIV - 1.00 - false,,
2008-08-21,101126.65,1.011,XIV - 0.20 - false,,
2008-08-22,101643.92,0.512,XIV - 1.00 - false,,
2008-08-25,97125.31,-4.446,XIV - 1.00 - false,,
2008-08-26,98117.65,1.022,XIV - 0.20 - false,,
2008-08-27,98558.65,0.449,XIV - 1.00 - false,,
2008-08-28,101049.32,2.527,XIV - 1.00 - false,,
2008-08-29,98775.86,-2.25,XIV - 1.00 - false,,
2008-09-02,97476.38,-1.316,XIV - 1.00 - false,,
2008-09-03,98667.68,1.222,None - 0.00 - false,,
2008-09-04,98667.68,0,XIV - 0.20 - false,,
2008-09-05,99065.31,0.403,None - 0.00 - true,,
2008-09-08,98914.827492,-0.152,None - 0.00 - true,,
2008-09-09,95942.84373,-3.005,None - 0.00 - false,,
2008-09-10,95942.84373,0,VXX - 1.00 - false,,
2008-09-11,96542.76373,0.625,VXX - 1.00 - false,,
2008-09-12,97182.42773,0.663,VXX - 1.00 - false,,
2008-09-15,101818.70773,4.771,VXX - 1.00 - false,,
2008-09-16,100295.74773,-1.496,VXX - 1.00 - false,,
2008-09-17,104856.81173,4.548,VXX - 1.00 - false,,
2008-09-18,100778.09173,-3.89,VXX - 1.00 - false,,
2008-09-19,98949.98773,-1.814,VXX - 1.00 - false,,
2008-09-22,104421.35573,5.529,VXX - 1.00 - false,,
2008-09-23,111714.77173,6.985,VXX - 1.00 - false,,
2008-09-24,110661.41973,-0.943,VXX - 1.00 - false,,
2008-09-25,107919.25173,-2.478,VXX - 1.00 - false,,
2008-09-26,110210.28373,2.123,VXX - 1.00 - false,,
2008-09-29,122760.30773,11.387,VXX - 1.00 - false,,
2008-09-30,116687.69173,-4.947,VXX - 1.00 - false,,
2008-10-01,119829.81173,2.693,VXX - 1.00 - false,,
2008-10-02,126435.89973,5.513,VXX - 1.00 - false,,
2008-10-03,129927.17173,2.761,VXX - 1.00 - false,,
2008-10-06,133816.29973,2.993,VXX - 1.00 - false,,
2008-10-07,144589.42773,8.051,VXX - 1.00 - false,,
2008-10-08,151526.37973,4.798,VXX - 1.00 - false,,
2008-10-09,164322.37973,8.445,VXX - 1.00 - false,,
