Date,Equity,dayProfit%,,,,
2008-08-12,100000,0,XIV - 1.00 - false,, Avg.profit = 141.043%, max DD = 33.21% (2016-01-22)
2008-08-13,98087.5,-1.912,XIV - 1.00 - false,,,
2008-08-14,101350.58,3.327,XIV - 1.00 - false,,,
2008-08-15,102700.34,1.332,XIV - 1.00 - false,,,
2008-08-18,101238.23,-1.424,XIV - 1.00 - false,,,
2008-08-19,98088.79,-3.111,XIV - 1.00 - false,,,
2008-08-20,100114.15,2.065,XIV - 1.00 - false,,,
2008-08-21,101126.65,1.011,XIV - 0.20 - false,,,
2008-08-22,101643.92,0.512,XIV - 1.00 - false,,,
2008-08-25,97125.31,-4.446,XIV - 1.00 - false,,,
2008-08-26,98117.65,1.022,XIV - 0.20 - false,,,
2008-08-27,98558.65,0.449,XIV - 1.00 - false,,,
2008-08-28,101049.32,2.527,XIV - 1.00 - false,,,
2008-08-29,98775.86,-2.25,XIV - 1.00 - false,,,
2008-09-02,97476.38,-1.316,XIV - 1.00 - false,,,
2008-09-03,98667.68,1.222,None - 0.00 - false,,,
2008-09-04,98667.68,0,XIV - 0.20 - false,,,
2008-09-05,99065.31,0.403,None - 0.00 - true,,,
2008-09-08,99480.168815,0.419,None - 0.00 - true,,,
2008-09-09,100465.598375,0.991,None - 0.00 - false,,,
2008-09-10,100465.598375,0,VXX - 1.00 - false,,,
2008-09-11,101065.518375,0.597,VXX - 1.00 - false,,,
2008-09-12,101705.182375,0.633,VXX - 1.00 - false,,,
2008-09-15,106341.462375,4.559,VXX - 1.00 - false,,,
2008-09-16,104818.502375,-1.432,VXX - 1.00 - false,,,
2008-09-17,109379.566375,4.351,VXX - 1.00 - false,,,
2008-09-18,105300.846375,-3.729,VXX - 1.00 - false,,,
2008-09-19,103472.742375,-1.736,VXX - 1.00 - false,,,
2008-09-22,108944.110375,5.288,VXX - 1.00 - false,,,
2008-09-23,116237.526375,6.695,VXX - 1.00 - false,,,
2008-09-24,115184.174375,-0.906,VXX - 1.00 - false,,,
2008-09-25,112442.006375,-2.381,VXX - 1.00 - false,,,
2008-09-26,114733.038375,2.038,VXX - 1.00 - false,,,
2008-09-29,127283.062375,10.938,VXX - 1.00 - false,,,
2008-09-30,121210.446375,-4.771,VXX - 1.00 - false,,,
2008-10-01,124352.566375,2.592,VXX - 1.00 - false,,,
2008-10-02,130958.654375,5.312,VXX - 1.00 - false,,,
2008-10-03,134449.926375,2.666,VXX - 1.00 - false,,,
2008-10-06,138339.054375,2.893,VXX - 1.00 - false,,,
2008-10-07,149112.182375,7.787,VXX - 1.00 - false,,,
2008-10-08,156049.134375,4.652,VXX - 1.00 - false,,,
2008-10-09,168845.134375,8.2,VXX - 1.00 - false,,,
2008-10-10,174827.254375,3.543,VXX - 1.00 - false,,,
2008-10-13,163620.550375,-6.41,VXX - 1.00 - false,,,
