Date,Equity,dayProfit%,,,,
2008-08-12,100000,0,XIV - 1.00 - false,, Avg.profit = 131.55%, max DD = 35.474% (2016-01-22)
2008-08-13,98087.5,-1.912,XIV - 1.00 - false,,,
2008-08-14,101350.58,3.327,XIV - 1.00 - false,,,
2008-08-15,102700.34,1.332,XIV - 1.00 - false,,,
2008-08-18,101238.23,-1.424,XIV - 1.00 - false,,,
2008-08-19,98088.79,-3.111,XIV - 1.00 - false,,,
2008-08-20,100114.15,2.065,XIV - 1.00 - false,,,
2008-08-21,101126.65,1.011,XIV - 0.20 - false,,,
2008-08-22,101643.92,0.512,XIV - 1.00 - false,,,
2008-08-25,97125.31,-4.446,XIV - 1.00 - false,,,
2008-08-26,98117.65,1.022,XIV - 0.20 - false,,,
2008-08-27,98558.65,0.449,XIV - 1.00 - false,,,
2008-08-28,101049.32,2.527,XIV - 1.00 - false,,,
2008-08-29,98775.86,-2.25,XIV - 1.00 - false,,,
2008-09-02,97476.38,-1.316,XIV - 1.00 - false,,,
2008-09-03,98667.68,1.222,None - 0.00 - false,,,
2008-09-04,98667.68,0,XIV - 0.20 - false,,,
2008-09-05,99065.31,0.403,None - 0.00 - false,,,
2008-09-08,99065.31,0,None - 0.00 - false,,,
2008-09-09,99065.31,0,None - 0.00 - false,,,
2008-09-10,99065.31,0,VXX - 1.00 - false,,,
2008-09-11,99665.23,0.606,VXX - 1.00 - false,,,
2008-09-12,100304.894,0.642,VXX - 1.00 - false,,,
2008-09-15,104941.174,4.622,VXX - 1.00 - false,,,
2008-09-16,103418.214,-1.451,VXX - 1.00 - false,,,
2008-09-17,107979.278,4.41,VXX - 1.00 - false,,,
2008-09-18,103900.558,-3.777,VXX - 1.00 - false,,,
2008-09-19,102072.454,-1.759,VXX - 1.00 - false,,,
2008-09-22,107543.822,5.36,VXX - 1.00 - false,,,
2008-09-23,114837.238,6.782,VXX - 1.00 - false,,,
2008-09-24,113783.886,-0.917,VXX - 1.00 - false,,,
2008-09-25,111041.718,-2.41,VXX - 1.00 - false,,,
2008-09-26,113332.75,2.063,VXX - 1.00 - false,,,
2008-09-29,125882.774,11.074,VXX - 1.00 - false,,,
2008-09-30,119810.158,-4.824,VXX - 1.00 - false,,,
2008-10-01,122952.278,2.623,VXX - 1.00 - false,,,
2008-10-02,129558.366,5.373,VXX - 1.00 - false,,,
2008-10-03,133049.638,2.695,VXX - 1.00 - false,,,
2008-10-06,136938.766,2.923,VXX - 1.00 - false,,,
2008-10-07,147711.894,7.867,VXX - 1.00 - false,,,
2008-10-08,154648.846,4.696,VXX - 1.00 - false,,,
2008-10-09,167444.846,8.274,VXX - 1.00 - false,,,
2008-10-10,173426.966,3.573,VXX - 1.00 - false,,,
2008-10-13,162220.262,-6.462,VXX - 1.00 - false,,,
2008-10-14,166194.886,2.45,VXX - 1.00 - false,,,
2008-10-15,185959.286,11.892,VXX - 1.00 - false,,,
2008-10-16,189089.806,1.683,VXX - 1.00 - false,,,
2008-10-17,202901.55,7.304,VXX - 1.00 - false,,,
2008-10-20,193217.134,-4.773,VXX - 1.00 - false,,,
2008-10-21,188750.918,-2.312,VXX - 1.00 - false,,,
2008-10-22,205820.606,9.043,VXX - 1.00 - false,,,
2008-10-23,211963.71,2.985,VXX - 1.00 - false,,,
2008-10-24,233219.566,10.028,VXX - 1.00 - false,,,
2008-10-27,245259.718,5.163,VXX - 1.00 - false,,,
2008-10-28,226381.358,-7.697,VXX - 1.00 - false,,,
2008-10-29,235689.078,4.112,VXX - 1.00 - false,,,
2008-10-30,232994.086,-1.143,VXX - 1.00 - false,,,
2008-10-31,232243.43,-0.322,VXX - 1.00 - false,,,
2008-11-03,225916.358,-2.724,VXX - 1.00 - false,,,
2008-11-04,208417.766,-7.746,VXX - 1.00 - false,,,
2008-11-05,220138.654,5.624,VXX - 1.00 - false,,,
2008-11-06,242676.918,10.238,VXX - 1.00 - false,,,
2008-11-07,237366.758,-2.188,VXX - 1.00 - false,,,
2008-11-10,241536.95,1.757,VXX - 1.00 - false,,,
2008-11-11,247782.854,2.586,VXX - 1.00 - false,,,
2008-11-12,264920.23,6.916,VXX - 1.00 - false,,,
2008-11-13,249202.03,-5.933,VXX - 1.00 - false,,,
2008-11-14,266054.334,6.763,VXX - 1.00 - false,,,
2008-11-17,279146.174,4.921,VXX - 1.00 - false,,,
2008-11-18,283451.702,1.542,VXX - 1.00 - false,,,
2008-11-19,308882.118,8.972,VXX - 1.00 - false,,,
2008-11-20,323941.982,4.876,VXX - 1.00 - false,,,
